Timestamp	Event	Event Data
10:24:17 12-10-2020		
11:02:02 12-10-2020	Boiler Initialized	-
11:02:05 12-10-2020	Boiler Ready	-
11:02:21 12-10-2020	Boiler Initialized	-
11:03:04 12-10-2020	Boiler Initialized	-
11:03:07 12-10-2020	Boiler Ready	-
11:06:35 12-10-2020	Boiler Initialized	-
11:06:38 12-10-2020	Boiler Ready	-
11:08:06 12-10-2020	Boiler Initialized	-
11:08:07 12-10-2020	Boiler Ready	-
11:08:19 12-10-2020	Boiler Initialized	-
11:08:21 12-10-2020	Boiler Ready	-
11:27:08 12-10-2020	Boiler Initialized	-
11:27:11 12-10-2020	Boiler Ready	-
11:48:40 12-10-2020	Boiler Initialized	-
11:48:43 12-10-2020	Boiler Ready	-
11:01:08 13-10-2020	Boiler Initialized	-
11:01:10 13-10-2020	Boiler Ready	-
11:08:24 13-10-2020	Boiler Initialized	-
11:08:25 13-10-2020	Boiler Ready	-
11:08:30 13-10-2020	Start Pre-Purge	0
11:30:57 13-10-2020	Boiler Initialized	-
11:30:59 13-10-2020	Boiler Ready	-
11:31:00 13-10-2020	Start Pre-Purge	0
11:38:28 13-10-2020	Boiler Initialized	-
11:38:29 13-10-2020	Boiler Ready	-
11:38:30 13-10-2020	Start Pre-Purge	0
11:38:32 13-10-2020	Pre-Purge Complete	2
14:57:52 17-11-2020	Boiler Initialized	-
14:57:55 17-11-2020	Boiler Ready	-
14:57:56 17-11-2020	Start Pre-Purge	0
14:57:58 17-11-2020	Pre-Purge Complete	2
14:58:37 17-11-2020	Boiler Initialized	-
14:58:38 17-11-2020	Boiler Ready	-
14:58:38 17-11-2020	Start Pre-Purge	0
14:58:40 17-11-2020	Pre-Purge Complete	2
15:00:03 17-11-2020	Boiler Initialized	-
15:00:06 17-11-2020	Boiler Ready	-
15:00:07 17-11-2020	Start Pre-Purge	0
15:00:09 17-11-2020	Pre-Purge Complete	2
15:05:30 17-11-2020	Boiler Initialized	-
15:05:32 17-11-2020	Boiler Ready	-
15:05:36 17-11-2020	Start Pre-Purge	0
15:05:38 17-11-2020	Pre-Purge Complete	2
15:06:06 17-11-2020	Boiler Initialized	-
15:06:07 17-11-2020	Boiler Ready	-
15:06:07 17-11-2020	Start Pre-Purge	0
15:06:09 17-11-2020	Pre-Purge Complete	2
15:08:05 17-11-2020	Boiler Initialized	-
15:08:05 17-11-2020	Boiler Ready	-
15:08:05 17-11-2020	Start Pre-Purge	0
15:08:07 17-11-2020	Pre-Purge Complete	2
15:09:49 17-11-2020	Boiler Initialized	-
15:09:49 17-11-2020	Boiler Ready	-
15:09:49 17-11-2020	Start Pre-Purge	0
15:09:51 17-11-2020	Pre-Purge Complete	2
15:12:09 17-11-2020	Boiler Initialized	-
15:12:10 17-11-2020	Boiler Ready	-
15:12:11 17-11-2020	Start Pre-Purge	0
15:12:13 17-11-2020	Pre-Purge Complete	2
15:12:14 17-11-2020	Pilot On	True
15:12:17 17-11-2020	Pilot Proved	30
15:12:17 17-11-2020	Forced Draft Fan On	True
15:13:43 17-11-2020	Boiler Initialized	-
15:13:43 17-11-2020	Boiler Ready	-
15:13:44 17-11-2020	Start Pre-Purge	0
15:13:46 17-11-2020	Pre-Purge Complete	2
15:13:50 17-11-2020	Pilot On	True
15:13:53 17-11-2020	Pilot Proved	30
15:13:53 17-11-2020	Forced Draft Fan On	True
15:14:19 17-11-2020	Boiler Initialized	-
15:14:19 17-11-2020	Boiler Ready	-
15:14:20 17-11-2020	Start Pre-Purge	0
15:14:22 17-11-2020	Pre-Purge Complete	2
15:14:22 17-11-2020	Pilot On	True
15:14:25 17-11-2020	Pilot Proved	30
15:14:25 17-11-2020	Forced Draft Fan On	True
11:35:37 18-11-2020	Boiler Initialized	-
11:35:38 18-11-2020	Boiler Ready	-
11:35:38 18-11-2020	Start Pre-Purge	0
11:35:40 18-11-2020	Pre-Purge Complete	2
11:35:42 18-11-2020	Pilot On	True
11:35:45 18-11-2020	Pilot Proved	30
11:35:45 18-11-2020	Forced Draft Fan On	True
11:35:45 18-11-2020	Boiler Running	10
11:47:05 18-11-2020	Boiler Initialized	-
11:47:06 18-11-2020	Boiler Ready	-
11:47:06 18-11-2020	Start Pre-Purge	0
11:47:08 18-11-2020	Pre-Purge Complete	2
11:47:09 18-11-2020	Pilot On	True
11:47:12 18-11-2020	Pilot Proved	30
11:47:12 18-11-2020	Forced Draft Fan On	True
11:47:12 18-11-2020	Boiler Running	10
